t,ref_c,humidity,dmm_c,ohm_4w,ohm_2w
1690034898.5837383,23.66,56.703,38.0776,9.998172444E+03,1.001497933E+04
1690034905.6703348,23.661,56.73,38.0776,9.998165600E+03,1.001498009E+04
1690034912.7561257,23.663,56.753,38.0776,9.998166313E+03,1.001479478E+04
1690034919.8431711,23.664,56.786,38.0776,9.998172810E+03,1.001480620E+04
1690034926.9307597,23.66,56.816,38.0776,9.998165125E+03,1.001478759E+04
1690034934.019349,23.661,56.837,38.0776,9.998167539E+03,1.001497507E+04
1690034941.1060243,23.655,56.85,38.0776,9.998168813E+03,1.001498844E+04
1690034948.1916687,23.658,56.876,38.0776,9.998163895E+03,1.001489408E+04
1690034955.277023,23.652,56.9,38.0776,9.998163881E+03,1.001493701E+04
1690034962.3618379,23.666,56.915,38.0776,9.998170515E+03,1.001478668E+04
1690034969.4479141,23.649,56.931,38.0776,9.998165313E+03,1.001487252E+04
1690034976.5344296,23.648,56.957,38.0776,9.998163607E+03,1.001477694E+04
1690034983.6212416,23.651,56.977,38.0776,9.998171370E+03,1.001479539E+04
1690034990.7063093,23.649,57.005,38.0776,9.998169658E+03,1.001479207E+04
1690034997.794567,23.646,57.033,38.0776,9.998169198E+03,1.001480107E+04
1690035004.8809466,23.645,57.058,38.0776,9.998167498E+03,1.001478531E+04
1690035011.9675884,23.645,57.108,38.0776,9.998162444E+03,1.001489644E+04
1690035019.0546288,23.641,57.143,38.0776,9.998170960E+03,1.001480739E+04
1690035026.1414552,23.637,57.163,38.0776,9.998168163E+03,1.001496940E+04
1690035033.226575,23.641,57.175,38.0776,9.998167446E+03,1.001498081E+04
1690035040.3117986,23.638,57.177,38.0776,9.998166495E+03,1.001497144E+04
1690035047.39697,23.646,57.183,38.0776,9.998167237E+03,1.001498148E+04
1690035054.4810054,23.638,57.18,38.0776,9.998166911E+03,1.001500479E+04
1690035061.5654845,23.635,57.181,38.0776,9.998164221E+03,1.001486967E+04
1690035068.6500773,23.629,57.184,38.0776,9.998171050E+03,1.001498897E+04
1690035075.7356515,23.635,57.187,38.0776,9.998169395E+03,1.001497529E+04
1690035082.822073,23.629,57.19,38.0776,9.998170094E+03,1.001478145E+04
1690035089.9079452,23.632,57.2,38.0776,9.998168700E+03,1.001480247E+04
1690035096.9937804,23.618,57.202,38.0776,9.998169716E+03,1.001483114E+04
1690035104.0811028,23.628,57.195,38.0776,9.998166221E+03,1.001478632E+04
1690035111.1683936,23.626,57.205,38.0776,9.998164692E+03,1.001480437E+04
1690035118.2558663,23.626,57.207,38.0776,9.998166760E+03,1.001480274E+04
1690035125.3440447,23.618,57.215,38.0776,9.998167274E+03,1.001493134E+04
1690035132.4306197,23.617,57.215,38.0776,9.998166293E+03,1.001484167E+04
1690035139.5174656,23.615,57.219,38.0776,9.998169245E+03,1.001500357E+04
1690035146.60362,23.623,57.23,38.0776,9.998163759E+03,1.001483104E+04
1690035153.6897547,23.62,57.227,38.0776,9.998171020E+03,1.001486800E+04
1690035160.7761123,23.617,57.238,38.0776,9.998170440E+03,1.001482925E+04
1690035167.86092,23.623,57.239,38.0776,9.998167984E+03,1.001488413E+04
1690035174.946384,23.618,57.247,38.0776,9.998170907E+03,1.001486596E+04
1690035182.0323832,23.617,57.254,38.0776,9.998170138E+03,1.001496966E+04
1690035189.118492,23.62,57.277,38.0776,9.998175243E+03,1.001481896E+04
1690035196.204579,23.626,57.295,38.0776,9.998174601E+03,1.001481772E+04
1690035203.291801,23.626,57.302,38.0776,9.998170133E+03,1.001480557E+04
1690035210.3792183,23.62,57.323,38.0776,9.998172208E+03,1.001479721E+04
1690035217.4664726,23.628,57.321,38.0776,9.998173825E+03,1.001487502E+04
1690035224.5541673,23.626,57.328,38.0776,9.998166508E+03,1.001480515E+04
1690035231.6413286,23.622,57.332,38.0776,9.998169020E+03,1.001499604E+04
1690035238.727662,23.625,57.345,38.0776,9.998169396E+03,1.001495015E+04
1690035245.8127651,23.628,57.348,38.0776,9.998164257E+03,1.001481388E+04
1690035252.9007173,23.628,57.353,38.0776,9.998173828E+03,1.001496070E+04
1690035259.9875255,23.637,57.359,38.0776,9.998171910E+03,1.001500600E+04
1690035267.0715973,23.635,57.356,38.0776,9.998167557E+03,1.001499995E+04
1690035274.1566951,23.628,57.368,38.0776,9.998171687E+03,1.001500907E+04
1690035281.2401052,23.638,57.371,38.0776,9.998171889E+03,1.001495450E+04
1690035288.327029,23.637,57.371,38.0776,9.998166600E+03,1.001489538E+04
1690035295.4135938,23.635,57.383,38.0776,9.998171775E+03,1.001477829E+04
1690035302.5014293,23.646,57.383,38.0776,9.998171401E+03,1.001483170E+04
1690035309.589352,23.646,57.386,38.0776,9.998168447E+03,1.001482136E+04
1690035316.6766746,23.648,57.382,38.0776,9.998167330E+03,1.001482306E+04
1690035323.7638857,23.649,57.397,38.0776,9.998175608E+03,1.001484391E+04
1690035330.851633,23.649,57.4,38.0776,9.998166174E+03,1.001482863E+04
1690035337.9387054,23.66,57.414,38.0776,9.998171829E+03,1.001496161E+04
1690035345.024085,23.661,57.413,38.0776,9.998174813E+03,1.001489029E+04
1690035352.110174,23.66,57.412,38.0776,9.998166517E+03,1.001502308E+04
1690035359.1957371,23.664,57.417,38.0776,9.998171129E+03,1.001479970E+04
1690035366.2821639,23.668,57.421,38.0776,9.998170992E+03,1.001490104E+04
1690035373.3687475,23.664,57.414,38.0776,9.998174700E+03,1.001488808E+04
1690035380.4545767,23.668,57.413,38.0776,9.998172149E+03,1.001485325E+04
1690035387.5393932,23.663,57.42,38.0776,9.998174005E+03,1.001485049E+04
1690035394.627267,23.677,57.422,38.0776,9.998161967E+03,1.001486570E+04
1690035401.7135198,23.678,57.424,38.0776,9.998171339E+03,1.001482395E+04
1690035408.8021142,23.68,57.421,38.0776,9.998172444E+03,1.001481603E+04
1690035415.8902142,23.687,57.418,38.0776,9.998166688E+03,1.001481403E+04
1690035422.9779105,23.677,57.406,38.0776,9.998168699E+03,1.001493114E+04
1690035430.0639043,23.689,57.4,38.0776,9.998168736E+03,1.001484764E+04
1690035437.152027,23.697,57.394,38.0776,9.998160437E+03,1.001483397E+04
1690035444.2394404,23.689,57.385,38.0776,9.998170198E+03,1.001480747E+04
1690035451.326942,23.692,57.369,38.0776,9.998167958E+03,1.001502126E+04
1690035458.4128902,23.697,57.363,38.0776,9.998175655E+03,1.001497068E+04
1690035465.498383,23.701,57.353,38.0776,9.998171380E+03,1.001487084E+04
1690035472.5848114,23.703,57.339,38.0776,9.998174210E+03,1.001500985E+04
1690035479.6700628,23.706,57.341,38.0776,9.998167744E+03,1.001483930E+04
1690035486.75707,23.712,57.332,38.0776,9.998172401E+03,1.001485473E+04
1690035493.8437476,23.713,57.325,38.0776,9.998173063E+03,1.001489091E+04
1690035500.9291208,23.703,57.322,38.0776,9.998167015E+03,1.001482321E+04
1690035508.015269,23.703,57.317,38.0776,9.998172029E+03,1.001486484E+04
1690035515.1022434,23.71,57.323,38.0776,9.998169387E+03,1.001482530E+04
1690035522.1889396,23.713,57.313,38.0776,9.998173085E+03,1.001499539E+04
1690035529.2758813,23.713,57.309,38.0776,9.998175319E+03,1.001483362E+04
1690035536.3629184,23.718,57.303,38.0776,9.998164906E+03,1.001480895E+04
1690035543.4513154,23.71,57.307,38.0776,9.998171549E+03,1.001487774E+04
1690035550.5380175,23.723,57.302,38.0776,9.998173281E+03,1.001480386E+04
1690035557.6244931,23.73,57.297,38.0776,9.998170986E+03,1.001500473E+04
1690035564.7106698,23.732,57.287,38.0776,9.998172264E+03,1.001501510E+04
1690035571.7971375,23.726,57.286,38.0776,9.998168923E+03,1.001502193E+04
1690035578.8832445,23.736,57.284,38.0776,9.998168437E+03,1.001488029E+04
1690035585.971371,23.738,57.277,38.0776,9.998171022E+03,1.001484416E+04
1690035593.0584059,23.738,57.265,38.0776,9.998166525E+03,1.001482144E+04
1690035600.1450138,23.733,57.265,38.0776,9.998173738E+03,1.001484020E+04
1690035607.2313762,23.747,57.263,38.0776,9.998168723E+03,1.001481960E+04
1690035614.3182926,23.752,57.261,38.0776,9.998169631E+03,1.001482223E+04
1690035621.4066591,23.756,57.251,38.0776,9.998171824E+03,1.001480628E+04
1690035628.4951427,23.752,57.25,38.0776,9.998173119E+03,1.001483911E+04
1690035635.5835147,23.755,57.249,38.0776,9.998174880E+03,1.001500970E+04
1690035642.6700892,23.752,57.249,38.0776,9.998177592E+03,1.001481290E+04
1690035649.7574213,23.772,57.248,38.0776,9.998172854E+03,1.001500127E+04
1690035656.843898,23.773,57.246,38.0776,9.998170008E+03,1.001496940E+04
1690035663.9306347,23.763,57.247,38.0776,9.998170830E+03,1.001503183E+04
1690035671.0165725,23.772,57.255,38.0776,9.998173337E+03,1.001496884E+04
1690035678.1020982,23.766,57.256,38.0776,9.998173437E+03,1.001484804E+04
1690035685.190035,23.776,57.261,38.0776,9.998172272E+03,1.001490679E+04
1690035692.2770333,23.772,57.266,38.0776,9.998170864E+03,1.001484611E+04
1690035699.3622334,23.782,57.263,38.0776,9.998171874E+03,1.001493237E+04
1690035706.4487677,23.789,57.269,38.0776,9.998170810E+03,1.001489020E+04
1690035713.5354426,23.787,57.264,38.0776,9.998179588E+03,1.001483217E+04
1690035720.622579,23.789,57.262,38.0776,9.998178117E+03,1.001483563E+04
1690035727.710243,23.785,57.26,38.0776,9.998178056E+03,1.001499418E+04
1690035734.796353,23.79,57.265,38.0776,9.998174053E+03,1.001485101E+04
1690035741.8838346,23.792,57.262,38.0776,9.998166585E+03,1.001485188E+04
1690035748.971762,23.785,57.256,38.0776,9.998175776E+03,1.001487829E+04
1690035756.0601068,23.796,57.253,38.0776,9.998172702E+03,1.001499202E+04
1690035763.1443686,23.801,57.256,38.0776,9.998170363E+03,1.001486561E+04
1690035770.2309823,23.799,57.243,38.0776,9.998181184E+03,1.001487693E+04
1690035777.3158743,23.798,57.243,38.0776,9.998173393E+03,1.001500730E+04
1690035784.4005034,23.808,57.244,38.0776,9.998170730E+03,1.001484112E+04
1690035791.4878175,23.807,57.242,38.0776,9.998170424E+03,1.001480222E+04
1690035798.5764065,23.808,57.236,38.0776,9.998168208E+03,1.001483949E+04
1690035805.6637752,23.818,57.242,38.0776,9.998175908E+03,1.001483762E+04
1690035812.7512274,23.819,57.246,38.0776,9.998168126E+03,1.001501192E+04
1690035819.837681,23.813,57.248,38.0776,9.998167013E+03,1.001484422E+04
1690035826.9261296,23.819,57.248,38.0776,9.998168588E+03,1.001486272E+04
1690035834.0129058,23.821,57.242,38.0776,9.998170677E+03,1.001488689E+04
1690035841.1002,23.83,57.236,38.0776,9.998169973E+03,1.001501045E+04
1690035848.1855505,23.822,57.223,38.0776,9.998175305E+03,1.001485612E+04
1690035855.2718346,23.836,57.207,38.0776,9.998167307E+03,1.001503885E+04
1690035862.3581216,23.833,57.206,38.0776,9.998169991E+03,1.001488676E+04
1690035869.4456024,23.83,57.19,38.0776,9.998174689E+03,1.001483982E+04
1690035876.53318,23.835,57.179,38.0776,9.998165880E+03,1.001486320E+04
1690035883.6197011,23.831,57.181,38.0776,9.998170579E+03,1.001483298E+04
1690035890.7081962,23.844,57.184,38.0776,9.998176168E+03,1.001485689E+04
1690035897.795642,23.836,57.171,38.0776,9.998172896E+03,1.001483810E+04
1690035904.884129,23.838,57.177,38.0776,9.998171704E+03,1.001486058E+04
1690035911.9712012,23.841,57.165,38.0776,9.998174589E+03,1.001484569E+04
1690035919.0601516,23.842,57.168,38.0776,9.998168873E+03,1.001483267E+04
1690035926.1473823,23.851,57.162,38.0776,9.998171494E+03,1.001485164E+04
1690035933.2347987,23.85,57.155,38.0776,9.998174724E+03,1.001491796E+04
1690035940.3212476,23.847,57.15,38.0776,9.998175833E+03,1.001489445E+04
1690035947.4087188,23.858,57.141,38.0776,9.998173895E+03,1.001503541E+04
1690035954.494572,23.861,57.144,38.0776,9.998171503E+03,1.001500857E+04
1690035961.5788918,23.862,57.134,38.0776,9.998174342E+03,1.001505647E+04
1690035968.6639836,23.862,57.121,38.0776,9.998167314E+03,1.001485601E+04
1690035975.7505815,23.865,57.13,38.0776,9.998169820E+03,1.001502138E+04
1690035982.8364553,23.867,57.119,38.0776,9.998171787E+03,1.001490560E+04
1690035989.9242687,23.864,57.116,38.0776,9.998173533E+03,1.001496552E+04
1690035997.0104163,23.864,57.105,38.0776,9.998167072E+03,1.001484644E+04
1690036004.0969236,23.865,57.105,38.0776,9.998169665E+03,1.001493671E+04
1690036011.1824157,23.868,57.097,38.0776,9.998170715E+03,1.001486837E+04
1690036018.2681663,23.88,57.094,38.0776,9.998168949E+03,1.001483833E+04
1690036025.3557317,23.887,57.092,38.0776,9.998174358E+03,1.001484248E+04
1690036032.443168,23.879,57.081,38.0776,9.998170352E+03,1.001500076E+04
1690036039.5292854,23.877,57.079,38.0776,9.998172448E+03,1.001485894E+04
1690036046.6162136,23.882,57.073,38.0776,9.998166158E+03,1.001484339E+04
1690036053.703591,23.885,57.066,38.0776,9.998175417E+03,1.001485353E+04
1690036060.7920346,23.884,57.055,38.0776,9.998175102E+03,1.001490705E+04
1690036067.8801856,23.888,57.047,38.0776,9.998172690E+03,1.001502392E+04
1690036074.9652271,23.887,57.041,38.0776,9.998170756E+03,1.001486927E+04
1690036082.0528214,23.885,57.041,38.0776,9.998171808E+03,1.001505320E+04
1690036089.1390944,23.887,57.04,38.0776,9.998171274E+03,1.001504708E+04
1690036096.2238781,23.887,57.033,38.0776,9.998177823E+03,1.001503529E+04
1690036103.3086605,23.888,57.031,38.0776,9.998176943E+03,1.001485904E+04
1690036110.3962474,23.897,57.026,38.0776,9.998167330E+03,1.001483920E+04
1690036117.4838815,23.9,57.024,38.0776,9.998174174E+03,1.001485718E+04
1690036124.5703483,23.902,57.018,38.0776,9.998167683E+03,1.001483183E+04
1690036131.656781,23.897,57.013,38.0776,9.998174274E+03,1.001485364E+04
1690036138.7433565,23.911,57.009,38.0776,9.998169010E+03,1.001488197E+04
1690036145.8296628,23.908,57.009,38.0776,9.998172854E+03,1.001495472E+04
1690036152.91597,23.919,57.008,38.0776,9.998168331E+03,1.001500847E+04
1690036160.001529,23.916,57.005,38.0776,9.998170960E+03,1.001488213E+04
1690036167.0888412,23.916,57.001,38.0776,9.998169221E+03,1.001484623E+04
1690036174.1768703,23.916,57.011,38.0776,9.998169211E+03,1.001484926E+04
1690036181.2650592,23.911,56.994,38.0776,9.998168318E+03,1.001500181E+04
1690036188.3500915,23.923,56.998,38.0776,9.998175626E+03,1.001502435E+04
1690036195.4356976,23.919,56.995,38.0776,9.998176640E+03,1.001501041E+04
1690036202.521316,23.923,56.994,38.0776,9.998174253E+03,1.001499070E+04
1690036209.6088247,23.93,56.988,38.0776,9.998172074E+03,1.001502947E+04
1690036216.6931348,23.934,56.992,38.0776,9.998169459E+03,1.001480015E+04
1690036223.7803338,23.933,56.989,38.0776,9.998171367E+03,1.001499768E+04
1690036230.86549,23.93,56.986,38.0776,9.998174440E+03,1.001491159E+04
1690036237.9533834,23.939,56.983,38.0776,9.998172162E+03,1.001483413E+04
1690036245.0406854,23.942,56.981,38.0776,9.998174645E+03,1.001493686E+04
1690036252.1275642,23.951,56.98,38.0776,9.998176365E+03,1.001491197E+04
1690036259.2132282,23.948,56.981,38.0776,9.998170440E+03,1.001487594E+04
1690036266.2994628,23.942,56.975,38.0776,9.998176165E+03,1.001482519E+04
1690036273.3875222,23.94,56.971,38.0776,9.998168733E+03,1.001482085E+04
1690036280.473928,23.953,56.978,38.0776,9.998166386E+03,1.001482405E+04
1690036287.5626156,23.951,56.973,38.0776,9.998166726E+03,1.001504153E+04
1690036294.649119,23.953,56.969,38.0776,9.998170096E+03,1.001478722E+04
1690036301.7367995,23.957,56.965,38.0776,9.998169687E+03,1.001483695E+04
1690036308.8230166,23.957,56.956,38.0776,9.998168883E+03,1.001489347E+04
1690036315.9103606,23.959,56.957,38.0776,9.998168859E+03,1.001503541E+04
1690036322.9953027,23.959,56.954,38.0776,9.998163101E+03,1.001489608E+04
1690036330.0820334,23.968,56.947,38.0776,9.998168393E+03,1.001481657E+04
1690036337.1701357,23.96,56.941,38.0776,9.998169414E+03,1.001483307E+04
1690036344.2575338,23.965,56.943,38.0776,9.998170683E+03,1.001482216E+04
1690036351.3443415,23.963,56.937,38.0776,9.998176452E+03,1.001485571E+04
1690036358.4319837,23.966,56.935,38.0776,9.998175929E+03,1.001482659E+04
1690036365.5210645,23.971,56.929,38.0776,9.998171473E+03,1.001482424E+04
1690036372.6075761,23.971,56.917,38.0776,9.998171743E+03,1.001486953E+04
1690036379.6958323,23.977,56.927,38.0776,9.998174266E+03,1.001482721E+04
1690036386.7846205,23.975,56.925,38.0776,9.998171041E+03,1.001483798E+04
1690036393.8730912,23.977,56.921,38.0776,9.998169471E+03,1.001505158E+04
1690036400.9593081,23.982,56.914,38.0776,9.998175391E+03,1.001483408E+04
1690036408.047884,23.975,56.924,38.0776,9.998169616E+03,1.001494578E+04
1690036415.1344464,23.979,56.919,38.0776,9.998172693E+03,1.001485500E+04
1690036422.221125,23.989,56.917,38.0776,9.998170196E+03,1.001489299E+04
1690036429.3071783,23.983,56.913,38.0776,9.998165853E+03,1.001485047E+04
1690036436.392804,23.992,56.908,38.0776,9.998169956E+03,1.001488325E+04
1690036443.4791055,23.988,56.917,38.0776,9.998168007E+03,1.001484583E+04
1690036450.5658824,23.989,56.913,38.0776,9.998172752E+03,1.001484966E+04
1690036457.6526933,23.991,56.908,38.0776,9.998176461E+03,1.001482672E+04
1690036464.7408686,23.985,56.907,38.0776,9.998168330E+03,1.001500555E+04
1690036471.8277752,24.002,56.904,38.0776,9.998176754E+03,1.001484316E+04
1690036478.9154642,23.998,56.911,38.0776,9.998170580E+03,1.001487839E+04
1690036486.0033147,23.998,56.905,38.0776,9.998164279E+03,1.001498937E+04
1690036493.0892115,24.005,56.904,38.0776,9.998168678E+03,1.001503554E+04
1690036500.1753876,24.0,56.898,38.0776,9.998178056E+03,1.001504436E+04
1690036507.2607346,24.0,56.899,38.0776,9.998171389E+03,1.001501734E+04
1690036514.3467119,24.002,56.897,38.0776,9.998171043E+03,1.001498762E+04
1690036521.4319866,24.005,56.891,38.0776,9.998171203E+03,1.001483635E+04
1690036528.5189736,24.003,56.887,38.0776,9.998163230E+03,1.001494779E+04
1690036535.6049037,24.0,56.883,38.0776,9.998166810E+03,1.001488032E+04
1690036542.6926324,24.011,56.891,38.0776,9.998174524E+03,1.001485210E+04
1690036549.7807717,24.014,56.897,38.0776,9.998173344E+03,1.001488528E+04
1690036556.8687065,24.014,56.88,38.0776,9.998173844E+03,1.001484685E+04
1690036563.9564378,24.009,56.892,38.0776,9.998170193E+03,1.001493767E+04
1690036571.0434546,24.014,56.891,38.0776,9.998169047E+03,1.001481423E+04
1690036578.1299794,24.014,56.881,38.0776,9.998173913E+03,1.001491382E+04
1690036585.2180324,24.012,56.886,38.0776,9.998165362E+03,1.001482528E+04
1690036592.3050258,24.011,56.89,38.0776,9.998170692E+03,1.001502339E+04
1690036599.391701,24.021,56.881,38.0776,9.998170613E+03,1.001485338E+04
1690036606.4794915,24.018,56.877,38.0776,9.998173223E+03,1.001484406E+04
1690036613.5664392,24.021,56.884,38.0776,9.998173612E+03,1.001483155E+04
1690036620.6538994,24.031,56.878,38.0776,9.998175606E+03,1.001484570E+04
1690036627.7413378,24.031,56.878,38.0776,9.998169203E+03,1.001502848E+04
1690036634.8259583,24.031,56.878,38.0776,9.998172001E+03,1.001491702E+04
1690036641.9128976,24.038,56.877,38.0776,9.998170469E+03,1.001484882E+04
1690036648.9996998,24.037,56.866,38.0776,9.998169338E+03,1.001485664E+04
1690036656.0879939,24.035,56.871,38.0776,9.998173470E+03,1.001488779E+04
1690036663.1745787,24.044,56.873,38.0776,9.998176274E+03,1.001481393E+04
1690036670.263506,24.047,56.872,38.0776,9.998169433E+03,1.001498609E+04
1690036677.3482277,24.041,56.869,38.0776,9.998173420E+03,1.001492058E+04
1690036684.435989,24.04,56.873,38.0776,9.998177291E+03,1.001488888E+04
1690036691.5232024,24.041,56.872,38.0776,9.998170769E+03,1.001498835E+04
1690036698.6087425,24.047,56.868,38.0776,9.998165373E+03,1.001502340E+04
1690036705.6939893,24.043,56.869,38.0776,9.998171645E+03,1.001505148E+04
1690036712.7803483,24.049,56.863,38.0776,9.998174081E+03,1.001484452E+04
1690036719.868187,24.04,56.867,38.0776,9.998178237E+03,1.001492268E+04
1690036726.9544697,24.044,56.872,38.0776,9.998170379E+03,1.001487498E+04
1690036734.042805,24.051,56.868,38.0776,9.998174320E+03,1.001490792E+04
1690036741.131174,24.055,56.865,38.0776,9.998170413E+03,1.001488526E+04
1690036748.2190428,24.051,56.872,38.0776,9.998175288E+03,1.001501975E+04
1690036755.3033123,24.055,56.871,38.0776,9.998170609E+03,1.001487768E+04
1690036762.3879843,24.054,56.873,38.0776,9.998175284E+03,1.001489780E+04
1690036769.4732373,24.061,56.865,38.0776,9.998174269E+03,1.001502995E+04
1690036776.5592923,24.054,56.867,38.0776,9.998170211E+03,1.001487158E+04
1690036783.646861,24.061,56.859,38.0776,9.998168503E+03,1.001488722E+04
1690036790.733344,24.058,56.859,38.0776,9.998171838E+03,1.001503992E+04
1690036797.8178706,24.054,56.86,38.0776,9.998172719E+03,1.001489926E+04
1690036804.9042294,24.063,56.864,38.0776,9.998171585E+03,1.001503484E+04
1690036811.9869957,24.061,56.852,38.0776,9.998165991E+03,1.001486876E+04
1690036819.0725186,24.063,56.86,38.0776,9.998168789E+03,1.001504080E+04
1690036826.1562037,24.058,56.854,38.0776,9.998169274E+03,1.001503969E+04
1690036833.2405455,24.066,56.857,38.0776,9.998169974E+03,1.001503430E+04
1690036840.3252704,24.066,56.852,38.0776,9.998167180E+03,1.001490913E+04
1690036847.410548,24.064,56.859,38.0776,9.998169752E+03,1.001482725E+04
1690036854.4970884,24.067,56.854,38.0776,9.998168794E+03,1.001486474E+04
1690036861.5834863,24.069,56.85,38.0776,9.998173150E+03,1.001490552E+04
1690036868.6713479,24.063,56.852,38.0776,9.998172772E+03,1.001494187E+04
1690036875.7575827,24.066,56.85,38.0776,9.998171053E+03,1.001485758E+04
1690036882.8447344,24.074,56.851,38.0776,9.998174081E+03,1.001486128E+04
1690036889.9324682,24.069,56.846,38.0776,9.998173634E+03,1.001502671E+04
1690036897.0179446,24.066,56.843,38.0776,9.998167922E+03,1.001493959E+04
1690036904.1043622,24.07,56.848,38.0776,9.998164862E+03,1.001493827E+04
1690036911.191218,24.074,56.848,38.0776,9.998171557E+03,1.001493995E+04
1690036918.2771218,24.075,56.841,38.0776,9.998169163E+03,1.001501542E+04
1690036925.363396,24.07,56.841,38.0776,9.998174080E+03,1.001485560E+04
1690036932.4495513,24.08,56.837,38.0776,9.998173213E+03,1.001491087E+04
1690036939.5355248,24.081,56.838,38.0776,9.998165517E+03,1.001486831E+04
1690036946.6208668,24.077,56.839,38.0776,9.998170285E+03,1.001483689E+04
1690036953.7067676,24.078,56.835,38.0776,9.998174171E+03,1.001485925E+04
1690036960.7926605,24.089,56.834,38.0776,9.998176040E+03,1.001492764E+04
1690036967.8788128,24.093,56.835,38.0776,9.998165810E+03,1.001487333E+04
1690036974.9648488,24.097,56.832,38.0776,9.998174924E+03,1.001492111E+04
1690036982.0502996,24.101,56.831,38.0776,9.998169999E+03,1.001486037E+04
1690036989.1374707,24.1,56.827,38.0776,9.998172950E+03,1.001500929E+04
1690036996.2224557,24.093,56.823,38.0776,9.998168591E+03,1.001488243E+04
1690037003.3090467,24.103,56.819,38.0776,9.998171605E+03,1.001485740E+04
1690037010.396585,24.101,56.818,38.0776,9.998169185E+03,1.001495936E+04
1690037017.4825037,24.103,56.824,38.0776,9.998180198E+03,1.001488148E+04
1690037024.5687807,24.101,56.817,38.0776,9.998173973E+03,1.001505961E+04
1690037031.6535218,24.104,56.815,38.0776,9.998171100E+03,1.001502364E+04
1690037038.7383764,24.112,56.822,38.0776,9.998168865E+03,1.001506941E+04
1690037045.8240762,24.109,56.826,38.0776,9.998172102E+03,1.001494352E+04
1690037052.9104843,24.118,56.815,38.0776,9.998171539E+03,1.001487865E+04
1690037059.9956791,24.113,56.811,38.0776,9.998173114E+03,1.001488664E+04
1690037067.0813036,24.123,56.808,38.0776,9.998173589E+03,1.001485415E+04
1690037074.1664302,24.124,56.808,38.0776,9.998168517E+03,1.001503491E+04
1690037081.2516937,24.123,56.804,38.0776,9.998170944E+03,1.001487158E+04
1690037088.338431,24.123,56.805,38.0776,9.998173431E+03,1.001487897E+04
1690037095.4261627,24.13,56.799,38.0776,9.998176618E+03,1.001486435E+04
