t,dmm_c,r_ohm
1689441665.2175806,37.9746,1.000010613E+03
1689441666.2286713,37.9746,1.000010440E+03
1689441667.2395794,37.9746,1.000010561E+03
1689441668.250651,37.9746,1.000010325E+03
1689441669.261807,37.9746,1.000010634E+03
1689441670.27279,37.9746,1.000010629E+03
1689441671.2838504,37.9762,1.000010404E+03
1689441672.2948928,37.9762,1.000010335E+03
1689441673.3058476,37.9762,1.000010296E+03
1689441674.3168907,37.9762,1.000010406E+03
1689441675.3279932,37.9762,1.000010195E+03
1689441676.3390508,37.9762,1.000010128E+03
1689441677.350032,37.9762,1.000010429E+03
1689441678.3610172,37.9762,1.000010368E+03
1689441679.3721514,37.9787,1.000010333E+03
1689441680.3831108,37.9787,1.000010292E+03
1689441681.3941426,37.9787,1.000010159E+03
1689441682.4052544,37.9787,1.000010434E+03
1689441683.4163506,37.9787,1.000010442E+03
1689441684.4272666,37.9787,1.000010262E+03
1689441685.4383912,37.9787,1.000010465E+03
1689441686.4494455,37.9787,1.000010453E+03
1689441687.460332,37.9806,1.000010442E+03
1689441688.4714024,37.9806,1.000010304E+03
1689441689.4827883,37.9806,1.000010507E+03
1689441690.4937828,37.9806,1.000010477E+03
1689441691.5046527,37.9806,1.000010538E+03
1689441692.5156493,37.9806,1.000010421E+03
1689441693.527034,37.9806,1.000010542E+03
1689441694.5386436,37.9806,1.000010442E+03
1689441695.5497158,37.9829,1.000010594E+03
1689441696.5607955,37.9829,1.000010461E+03
1689441697.5721173,37.9829,1.000010750E+03
1689441698.58412,37.9829,1.000010538E+03
1689441699.5949697,37.9829,1.000010473E+03
1689441700.6058242,37.9829,1.000010501E+03
1689441701.6169708,37.9829,1.000010626E+03
1689441702.6280177,37.9829,1.000010659E+03
1689441703.6393583,37.9846,1.000010681E+03
1689441704.6511483,37.9846,1.000010649E+03
1689441705.6623747,37.9846,1.000010588E+03
1689441706.6741111,37.9846,1.000010733E+03
1689441707.6850798,37.9846,1.000010544E+03
1689441708.6962063,37.9846,1.000010548E+03
1689441709.707173,37.9846,1.000010530E+03
1689441710.7184656,37.9846,1.000010640E+03
1689441711.7295728,37.9864,1.000010443E+03
1689441712.740402,37.9864,1.000010255E+03
1689441713.751323,37.9864,1.000010303E+03
1689441714.7624424,37.9864,1.000010444E+03
1689441715.7735481,37.9864,1.000010439E+03
1689441716.7845676,37.9864,1.000010360E+03
1689441717.7955298,37.9864,1.000010299E+03
1689441718.8065572,37.9864,1.000010231E+03
1689441719.8175578,37.9881,1.000010212E+03
1689441720.8285937,37.9881,1.000010391E+03
1689441721.8396552,37.9881,1.000010299E+03
1689441722.851014,37.9881,1.000010507E+03
1689441723.861727,37.9881,1.000010287E+03
1689441724.872715,37.9881,1.000010356E+03
1689441725.8838785,37.9881,1.000010377E+03
1689441726.894882,37.9881,1.000010327E+03
1689441727.9058526,37.9902,1.000010201E+03
1689441728.916958,37.9902,1.000010298E+03
1689441729.927936,37.9902,1.000010212E+03
1689441730.9390347,37.9902,1.000010340E+03
1689441731.950028,37.9902,1.000010151E+03
1689441732.9610696,37.9902,1.000010257E+03
1689441733.9720867,37.9902,1.000010175E+03
1689441734.9830854,37.9902,1.000010308E+03
1689441735.994194,37.9923,1.000010373E+03
1689441737.005288,37.9923,1.000010136E+03
1689441738.0163221,37.9923,1.000010226E+03
1689441739.027335,37.9923,1.000010384E+03
1689441740.0383477,37.9923,1.000010232E+03
1689441741.0494459,37.9923,1.000010275E+03
1689441742.0607035,37.9923,1.000010312E+03
1689441743.0717537,37.9923,1.000010337E+03
1689441744.0824776,37.9944,1.000010209E+03
1689441745.0934925,37.9944,1.000010426E+03
1689441746.1045318,37.9944,1.000010356E+03
1689441747.1156301,37.9944,1.000010352E+03
1689441748.1266038,37.9944,1.000010331E+03
1689441749.1376255,37.9944,1.000010310E+03
1689441750.148726,37.9944,1.000010319E+03
1689441751.1598175,37.9944,1.000010157E+03
1689441752.1708121,37.9963,1.000010179E+03
1689441753.1818492,37.9963,1.000010074E+03
1689441754.192848,37.9963,1.000010185E+03
1689441755.2038777,37.9963,1.000010122E+03
1689441756.2152698,37.9963,1.000010006E+03
1689441757.2269793,37.9963,1.000009989E+03
1689441758.2379444,37.9963,1.000010232E+03
1689441759.2490485,37.9963,1.000010172E+03
1689441760.2600865,37.9982,1.000010295E+03
1689441761.2711957,37.9982,1.000009982E+03
1689441762.2824926,37.9982,1.000010120E+03
1689441763.293183,37.9982,1.000010428E+03
1689441764.3043032,37.9982,1.000010150E+03
1689441765.3153484,37.9982,1.000010169E+03
1689441766.3265727,37.9982,1.000010323E+03
1689441767.3373418,37.9982,1.000010173E+03
1689441768.34841,38.0001,1.000010278E+03
1689441769.3594139,38.0001,1.000010016E+03
1689441770.3704395,38.0001,1.000010074E+03
1689441771.3815122,38.0001,1.000010259E+03
1689441772.392528,38.0001,1.000010205E+03
1689441773.4035873,38.0001,1.000010130E+03
1689441774.4148178,38.0001,1.000010114E+03
1689441775.4256532,38.0001,1.000010189E+03
1689441776.4367874,38.0016,1.000010147E+03
1689441777.4477248,38.0016,1.000010205E+03
1689441778.4587374,38.0016,1.000010070E+03
1689441779.469794,38.0016,1.000010140E+03
1689441780.4808104,38.0016,1.000010000E+03
1689441781.4918966,38.0016,1.000010163E+03
1689441782.5030227,38.0016,1.000010130E+03
1689441783.5139997,38.0016,1.000010128E+03
1689441784.524983,38.0032,1.000010009E+03
1689441785.5360467,38.0032,1.000010186E+03
1689441786.5471263,38.0032,1.000010036E+03
1689441787.5581388,38.0032,1.000010308E+03
1689441788.5691597,38.0032,1.000010106E+03
1689441789.5801644,38.0032,1.000010155E+03
1689441790.5912123,38.0032,1.000010134E+03
1689441791.6022632,38.0032,1.000010004E+03
1689441792.6137738,38.0049,1.000009957E+03
1689441793.6253583,38.0049,1.000010113E+03
1689441794.6366065,38.0049,1.000010148E+03
1689441795.6483955,38.0049,1.000010197E+03
1689441796.659407,38.0049,1.000010089E+03
1689441797.6704736,38.0049,1.000010097E+03
1689441798.6815155,38.0049,1.000010127E+03
1689441799.692593,38.0049,1.000010103E+03
1689441800.70382,38.0066,1.000010185E+03
1689441801.7146604,38.0066,1.000010205E+03
1689441802.725702,38.0066,1.000010397E+03
1689441803.736712,38.0066,1.000010499E+03
1689441804.7480614,38.0066,1.000010296E+03
1689441805.758896,38.0066,1.000010170E+03
1689441806.7698576,38.0066,1.000010243E+03
1689441807.7808943,38.0066,1.000010583E+03
1689441808.79197,38.0083,1.000010402E+03
1689441809.802936,38.0083,1.000010193E+03
1689441810.8139024,38.0083,1.000010214E+03
1689441811.8250084,38.0083,1.000010188E+03
1689441812.8361664,38.0083,1.000010214E+03
1689441813.8471448,38.0083,1.000010225E+03
1689441814.858099,38.0083,1.000010169E+03
1689441815.869282,38.0083,1.000010207E+03
1689441816.8802567,38.0101,1.000010106E+03
1689441817.8911674,38.0101,1.000010117E+03
1689441818.902238,38.0101,1.000010138E+03
1689441819.9132662,38.0101,1.000009998E+03
1689441820.9243252,38.0101,1.000010049E+03
1689441821.9354708,38.0101,1.000009884E+03
1689441822.9464035,38.0101,1.000010075E+03
1689441823.9574306,38.0101,1.000009947E+03
1689441824.9685292,38.0116,1.000010012E+03
1689441825.979583,38.0116,1.000009904E+03
1689441826.990572,38.0116,1.000010124E+03
1689441828.0016384,38.0116,1.000010185E+03
1689441829.0126514,38.0116,1.000010164E+03
1689441830.0236344,38.0116,1.000010080E+03
1689441831.0346704,38.0116,1.000010143E+03
1689441832.0457861,38.0116,1.000010075E+03
1689441833.056836,38.0132,1.000009839E+03
1689441834.0678139,38.0132,1.000009722E+03
1689441835.0791934,38.0132,1.000009821E+03
1689441836.089899,38.0132,1.000010075E+03
1689441837.1009624,38.0132,1.000009973E+03
1689441838.1120024,38.0132,1.000010160E+03
1689441839.1229658,38.0132,1.000010043E+03
1689441840.1340492,38.0132,1.000010041E+03
1689441841.1450973,38.0151,1.000010017E+03
1689441842.156187,38.0151,1.000009974E+03
1689441843.167137,38.0151,1.000009961E+03
1689441844.1781657,38.0151,1.000010099E+03
1689441845.189213,38.0151,1.000010050E+03
1689441846.2004058,38.0151,1.000010015E+03
1689441847.211331,38.0151,1.000009981E+03
1689441848.2223969,38.0151,1.000010074E+03
1689441849.2333581,38.0165,1.000009943E+03
1689441850.2444372,38.0165,1.000009881E+03
1689441851.255505,38.0165,1.000009853E+03
1689441852.266523,38.0165,1.000009807E+03
1689441853.2782319,38.0165,1.000009856E+03
1689441854.2896566,38.0165,1.000009749E+03
1689441855.3006678,38.0165,1.000009933E+03
1689441856.3117228,38.0165,1.000009914E+03
1689441857.3227704,38.0184,1.000009800E+03
1689441858.3337796,38.0184,1.000009854E+03
1689441859.3448033,38.0184,1.000010085E+03
1689441860.3558855,38.0184,1.000009886E+03
1689441861.3668647,38.0184,1.000009873E+03
1689441862.3779433,38.0184,1.000009917E+03
1689441863.3889337,38.0184,1.000009859E+03
1689441864.4000022,38.0184,1.000010074E+03
1689441865.4111466,38.0202,1.000009858E+03
1689441866.4221923,38.0202,1.000009772E+03
1689441867.4331417,38.0202,1.000009808E+03
1689441868.4441154,38.0202,1.000010093E+03
1689441869.4553077,38.0202,1.000009707E+03
1689441870.4662306,38.0202,1.000009896E+03
1689441871.477941,38.0202,1.000010083E+03
1689441872.4893446,38.0202,1.000009995E+03
1689441873.500334,38.0224,1.000009857E+03
1689441874.511395,38.0224,1.000009915E+03
1689441875.522486,38.0224,1.000009973E+03
1689441876.5334742,38.0224,1.000009947E+03
1689441877.5445085,38.0224,1.000009999E+03
1689441878.5555458,38.0224,1.000009800E+03
1689441879.566535,38.0224,1.000009910E+03
1689441880.5776708,38.0224,1.000009893E+03
1689441881.588698,38.0243,1.000009900E+03
1689441882.599685,38.0243,1.000010066E+03
1689441883.610737,38.0243,1.000010220E+03
1689441884.6218755,38.0243,1.000010136E+03
1689441885.6337874,38.0243,1.000010036E+03
1689441886.6448305,38.0243,1.000010115E+03
1689441887.6558292,38.0243,1.000010253E+03
1689441888.6670015,38.0243,1.000010101E+03
1689441889.6779327,38.0262,1.000010122E+03
1689441890.68902,38.0262,1.000010064E+03
1689441891.7000325,38.0262,1.000010349E+03
1689441892.7110476,38.0262,1.000010075E+03
1689441893.7221854,38.0262,1.000009998E+03
1689441894.733143,38.0262,1.000010166E+03
1689441895.7441876,38.0262,1.000010223E+03
1689441896.7552748,38.0262,1.000010201E+03
1689441897.766261,38.0284,1.000010194E+03
1689441898.7772503,38.0284,1.000009958E+03
1689441899.7883403,38.0284,1.000010004E+03
1689441900.799372,38.0284,1.000009918E+03
1689441901.810408,38.0284,1.000009936E+03
